start_station_id,start_station_name,gbfs_name,gbfs_id
3306.03,5 Ave & 41 St,5 Ave & 41 St,4eb6d6a8-ecc1-4e89-a586-4f96ed3d83e1
4190.06,Grand Ave & Bergen St,Grand Ave & Bergen St,1d32e684-602b-46b6-8c96-ab47b57a03f3
5779.08,1 Ave & E 16 St,1 Ave & E 16 St,66dc7802-0aca-11e7-82f6-3863bb44ef7c
3934.06,Sterling Pl & Schenectady Ave,Sterling Pl & Schenectady Ave,0e8bfd72-c494-4d3e-85e2-4f98b801fe3b
5503.01,Morgan Ave & Lombardy St,Morgan Ave & Lombardy St,344064f8-e82f-40fb-b235-aff506b77ae5
6098.10,Broadway & E 21 St,Broadway & E 21 St,5f7ac86c-1a98-4603-8749-4bb83ac84acd
5178.06,Graham Ave & Grand St,Graham Ave & Grand St,66dcf0b3-0aca-11e7-82f6-3863bb44ef7c
4064.03,Bergen St & Saratoga Ave,Bergen St & Saratoga Ave,af72ab76-c6cb-4994-af96-51fa8846ecdc
4263.12,Fulton St & Irving Pl,Fulton St & Irving Pl,47bcbcc1-9241-4e65-99f1-07c15543be1b
5581.01,Nassau Ave & Russell St,Nassau Ave & Russell St,66dd1c7f-0aca-11e7-82f6-3863bb44ef7c
4249.01,St Marks Pl & 4 Ave,St Marks Pl & 4 Ave,1932126716328112534
7648.16,2 Ave & E 125 St,2 Ave & E 125 St,bb07a569-cc74-439e-b424-916c0304f136
5851.01,Greenpoint Ave & Monitor St,Greenpoint Ave & Monitor St,1786699974232881542
6492.04,W 33 St & 10 Ave,W 33 St & 10 Ave,e3470e29-934c-41f1-8fe7-82135ed2d620
4327.09,Putnam Ave & Nostrand Ave,Putnam Ave & Nostrand Ave,66dcbe7c-0aca-11e7-82f6-3863bb44ef7c
5033.01,Broadway & Morris St,Broadway & Morris St,7dda8844-60ba-4449-b05c-54c1d14ab5fb
3871.02,Eastern Pkwy & Brooklyn Ave,Eastern Pkwy & Brooklyn Ave,eb07bdfc-3a6f-40eb-96d2-0b92ac371619
5572.07,Van Dam St & Meeker Ave,Van Dam St & Meeker Ave,1808184356986544410
5259.06,Devoe St & Lorimer St,Devoe St & Lorimer St,66dea52b-0aca-11e7-82f6-3863bb44ef7c
3344.02,Park Circle & East Dr,Park Circle & East Dr,02fb0f6a-b1dc-4e1c-97f8-fe70462670a3
5492.05,Cleveland Pl & Spring St,Cleveland Pl & Spring St,66db2fd0-0aca-11e7-82f6-3863bb44ef7c
5453.06,Kenmare St & Elizabeth St,Kenmare St & Elizabeth St,9e5fd5b6-c5f2-4694-9406-a44b7d0146d9
5114.06,West Thames St,West Thames St,66dbcbbc-0aca-11e7-82f6-3863bb44ef7c
5175.08,Fulton St & Broadway,Fulton St & Broadway,66db79a3-0aca-11e7-82f6-3863bb44ef7c
8262.07,W 171 St & St Nicholas Ave,W 171 St & St Nicholas Ave,d73e26de-8534-4b46-a321-3cae295ef9b2
4095.03,Van Brunt St & Wolcott St,Van Brunt St & Wolcott St,66de14af-0aca-11e7-82f6-3863bb44ef7c
